timestamp,city,aqi,weather_icon,wind_speed,humidity
2025-10-01T00:22:45.543200+07:00,Cần Thơ,56,/dl/web/weather/ic-weather-04n.svg,2.7 km/h,97%
2025-10-01T01:33:22.201375+07:00,Cần Thơ,53,/dl/web/weather/ic-weather-04n.svg,2.6 km/h,97%
2025-10-01T02:19:34.012987+07:00,Cần Thơ,50,/dl/web/weather/ic-weather-04n.svg,2.0 km/h,94%
2025-10-01T03:27:17.116478+07:00,Cần Thơ,50,/dl/web/weather/ic-weather-04n.svg,2.1 km/h,97%
2025-10-01T04:21:54.563801+07:00,Cần Thơ,50,/dl/web/weather/ic-weather-04n.svg,2.1 km/h,97%
2025-10-01T05:22:40.328451+07:00,Cần Thơ,55,/dl/web/weather/ic-weather-04n.svg,2.6 km/h,97%
2025-10-01T06:21:38.884224+07:00,Cần Thơ,58,/dl/web/weather/ic-weather-04d.svg,3.3 km/h,98%
2025-10-01T09:03:35.416304+07:00,Cần Thơ,55,/dl/web/weather/ic-weather-03d.svg,3.0 km/h,86%
2025-10-01T10:44:58.425447+07:00,Cần Thơ,55,/dl/web/weather/ic-weather-03d.svg,5.2 km/h,66%
2025-10-01T11:29:06.287396+07:00,Cần Thơ,56,/dl/web/weather/ic-weather-03d.svg,3.1 km/h,61%
2025-10-01T12:24:49.332580+07:00,Cần Thơ,55,/dl/web/weather/ic-weather-02d.svg,2.5 km/h,57%
2025-10-01T13:37:15.802389+07:00,Cần Thơ,33,/dl/web/weather/ic-weather-02d.svg,3.3 km/h,56%
2025-10-01T14:25:06.126474+07:00,Cần Thơ,33,/dl/web/weather/ic-weather-03d.svg,3.1 km/h,56%
2025-10-01T15:33:26.819479+07:00,Cần Thơ,66,/dl/web/weather/ic-weather-04d.svg,4.0 km/h,63%
2025-10-01T16:27:38.450488+07:00,Cần Thơ,62,/dl/web/weather/ic-weather-04d.svg,10.6 km/h,89%
2025-10-01T17:26:51.505363+07:00,Cần Thơ,79,/dl/web/weather/ic-weather-04d.svg,8.8 km/h,88%
2025-10-01T18:21:30.172280+07:00,Cần Thơ,73,/dl/web/weather/ic-weather-04n.svg,8.0 km/h,95%
2025-10-01T19:53:54.728108+07:00,Cần Thơ,71,/dl/web/weather/ic-weather-04n.svg,8.4 km/h,92%
2025-10-01T20:34:44.811835+07:00,Cần Thơ,71,/dl/web/weather/ic-weather-04n.svg,6.0 km/h,97%
2025-10-01T21:26:48.945771+07:00,Cần Thơ,94,/dl/web/weather/ic-weather-04n.svg,4.9 km/h,93%
2025-10-01T22:25:56.398071+07:00,Cần Thơ,77,/dl/web/weather/ic-weather-04n.svg,4.8 km/h,97%
2025-10-01T23:31:25.485002+07:00,Cần Thơ,86,/dl/web/weather/ic-weather-04n.svg,4.2 km/h,94%
2025-10-02T00:22:19.249702+07:00,Cần Thơ,75,/dl/web/weather/ic-weather-04n.svg,3.8 km/h,97%
2025-10-02T01:35:18.923360+07:00,Cần Thơ,82,/dl/web/weather/ic-weather-04n.svg,4.1 km/h,95%
2025-10-02T02:19:36.294831+07:00,Cần Thơ,82,/dl/web/weather/ic-weather-04n.svg,3.6 km/h,98%
2025-10-02T03:28:05.973739+07:00,Cần Thơ,92,/dl/web/weather/ic-weather-04n.svg,3.0 km/h,94%
2025-10-02T04:22:06.820241+07:00,Cần Thơ,81,/dl/web/weather/ic-weather-04n.svg,2.7 km/h,97%
2025-10-02T05:22:53.345185+07:00,Cần Thơ,94,/dl/web/weather/ic-weather-04n.svg,3.4 km/h,97%
2025-10-02T06:21:16.698726+07:00,Cần Thơ,99,/dl/web/weather/ic-weather-04d.svg,2.2 km/h,97%
2025-10-02T08:50:57.158323+07:00,Cần Thơ,122,/dl/web/weather/ic-weather-04d.svg,2.6 km/h,90%
2025-10-02T10:01:33.081469+07:00,Cần Thơ,77,/dl/web/weather/ic-weather-04d.svg,2.0 km/h,81%
2025-10-02T11:28:31.182795+07:00,Cần Thơ,58,/dl/web/weather/ic-weather-04d.svg,3.0 km/h,70%
2025-10-02T12:23:19.614161+07:00,Cần Thơ,39,/dl/web/weather/ic-weather-04d.svg,3.8 km/h,64%
2025-10-02T13:35:58.725518+07:00,Cần Thơ,44,/dl/web/weather/ic-weather-04d.svg,3.0 km/h,59%
2025-10-02T14:23:04.122588+07:00,Cần Thơ,50,/dl/web/weather/ic-weather-04d.svg,2.5 km/h,57%
2025-10-02T15:32:04.456095+07:00,Cần Thơ,39,/dl/web/weather/ic-weather-04d.svg,3.4 km/h,68%
2025-10-02T16:25:27.330917+07:00,Cần Thơ,50,/dl/web/weather/ic-weather-04d.svg,6.1 km/h,62%
2025-10-02T17:25:12.916066+07:00,Cần Thơ,69,/dl/web/weather/ic-weather-04d.svg,6.6 km/h,82%
2025-10-02T18:19:34.045597+07:00,Cần Thơ,71,/dl/web/weather/ic-weather-04n.svg,5.4 km/h,79%
2025-10-02T19:49:52.661456+07:00,Cần Thơ,82,/dl/web/weather/ic-weather-04n.svg,5.5 km/h,84%
2025-10-02T20:31:53.652982+07:00,Cần Thơ,77,/dl/web/weather/ic-weather-04n.svg,6.0 km/h,84%
2025-10-02T21:24:55.669729+07:00,Cần Thơ,60,/dl/web/weather/ic-weather-04n.svg,6.2 km/h,92%
2025-10-02T22:25:42.724133+07:00,Cần Thơ,55,/dl/web/weather/ic-weather-04n.svg,5.7 km/h,92%
2025-10-02T23:30:33.944411+07:00,Cần Thơ,53,/dl/web/weather/ic-weather-04n.svg,4.1 km/h,97%
2025-10-03T00:19:47.670844+07:00,Cần Thơ,56,/dl/web/weather/ic-weather-04n.svg,3.4 km/h,97%
2025-10-03T01:34:57.221546+07:00,Cần Thơ,56,/dl/web/weather/ic-weather-04n.svg,3.4 km/h,95%
2025-10-03T02:18:23.128754+07:00,Cần Thơ,55,/dl/web/weather/ic-weather-04n.svg,3.5 km/h,97%
2025-10-03T03:27:14.535307+07:00,Cần Thơ,53,/dl/web/weather/ic-weather-04n.svg,3.6 km/h,96%
2025-10-03T04:21:09.236372+07:00,Cần Thơ,53,/dl/web/weather/ic-weather-04n.svg,3.3 km/h,98%
2025-10-03T05:22:14.186219+07:00,Cần Thơ,60,/dl/web/weather/ic-weather-04n.svg,3.3 km/h,98%
2025-10-03T06:21:09.499818+07:00,Cần Thơ,69,/dl/web/weather/ic-weather-04d.svg,3.1 km/h,98%
2025-10-03T08:50:35.965034+07:00,Cần Thơ,73,/dl/web/weather/ic-weather-04d.svg,4.1 km/h,86%
2025-10-03T10:01:09.846779+07:00,Cần Thơ,50,/dl/web/weather/ic-weather-04d.svg,4.5 km/h,73%
2025-10-03T11:28:08.988200+07:00,Cần Thơ,28,/dl/web/weather/ic-weather-04d.svg,4.1 km/h,70%
2025-10-03T12:23:49.718669+07:00,Cần Thơ,44,/dl/web/weather/ic-weather-04d.svg,4.0 km/h,66%
2025-10-03T13:35:35.230876+07:00,Cần Thơ,33,/dl/web/weather/ic-weather-04d.svg,4.3 km/h,60%
2025-10-03T14:23:18.626546+07:00,Cần Thơ,39,/dl/web/weather/ic-weather-04d.svg,6.0 km/h,77%
2025-10-03T15:31:55.151801+07:00,Cần Thơ,39,/dl/web/weather/ic-weather-04d.svg,8.1 km/h,84%
2025-10-03T16:24:46.082502+07:00,Cần Thơ,50,/dl/web/weather/ic-weather-04d.svg,6.6 km/h,89%
2025-10-03T17:25:33.052327+07:00,Cần Thơ,55,/dl/web/weather/ic-weather-04d.svg,5.3 km/h,90%
2025-10-03T18:20:07.217378+07:00,Cần Thơ,55,/dl/web/weather/ic-weather-04n.svg,5.7 km/h,89%
2025-10-03T19:49:50.835583+07:00,Cần Thơ,79,/dl/web/weather/ic-weather-04n.svg,5.8 km/h,92%
2025-10-03T20:30:52.887130+07:00,Cần Thơ,90,/dl/web/weather/ic-weather-04n.svg,5.7 km/h,97%
2025-10-03T21:23:35.525245+07:00,Cần Thơ,96,/dl/web/weather/ic-weather-04n.svg,5.9 km/h,97%
2025-10-03T22:24:39.113584+07:00,Cần Thơ,102,/dl/web/weather/ic-weather-04n.svg,5.6 km/h,94%
2025-10-03T23:29:38.707229+07:00,Cần Thơ,81,/dl/web/weather/ic-weather-04n.svg,5.5 km/h,95%
2025-10-04T00:20:30.337088+07:00,Cần Thơ,81,/dl/web/weather/ic-weather-04n.svg,5.4 km/h,95%
2025-10-04T01:34:17.312861+07:00,Cần Thơ,84,/dl/web/weather/ic-weather-04n.svg,5.3 km/h,96%
2025-10-04T02:18:33.278692+07:00,Cần Thơ,84,/dl/web/weather/ic-weather-04n.svg,4.8 km/h,98%
2025-10-04T03:26:38.990115+07:00,Cần Thơ,84,/dl/web/weather/ic-weather-04n.svg,4.0 km/h,98%
2025-10-04T04:20:30.736642+07:00,Cần Thơ,86,/dl/web/weather/ic-weather-04n.svg,3.3 km/h,98%
2025-10-04T05:21:33.802748+07:00,Cần Thơ,81,/dl/web/weather/ic-weather-04n.svg,3.3 km/h,96%
2025-10-04T06:20:57.124599+07:00,Cần Thơ,86,/dl/web/weather/ic-weather-04d.svg,3.2 km/h,98%
2025-10-04T08:46:29.241471+07:00,Cần Thơ,82,/dl/web/weather/ic-weather-04d.svg,5.4 km/h,83%
2025-10-04T09:55:28.419064+07:00,Cần Thơ,82,/dl/web/weather/ic-weather-04d.svg,6.4 km/h,85%
2025-10-04T10:29:31.937691+07:00,Cần Thơ,28,/dl/web/weather/ic-weather-04d.svg,6.8 km/h,72%
2025-10-04T11:27:33.807688+07:00,Cần Thơ,22,/dl/web/weather/ic-weather-04d.svg,6.6 km/h,75%
