timestamp,city,aqi,weather_icon,wind_speed,humidity
2026-02-01T00:30:52.816912+07:00,Đà Nẵng,73,/dl/web/weather/ic-weather-03n.svg,3.7 km/h,78%
2026-02-01T01:42:38.666230+07:00,Đà Nẵng,81,/dl/web/weather/ic-weather-03n.svg,7.4 km/h,88%
2026-02-01T02:27:05.463277+07:00,Đà Nẵng,92,/dl/web/weather/ic-weather-03n.svg,3.7 km/h,88%
2026-02-01T03:34:02.675047+07:00,Đà Nẵng,75,/dl/web/weather/ic-weather-04n.svg,3.7 km/h,83%
2026-02-01T04:29:45.209751+07:00,Đà Nẵng,77,/dl/web/weather/ic-weather-10n.svg,5.5 km/h,83%
2026-02-01T05:30:55.792134+07:00,Đà Nẵng,77,/dl/web/weather/ic-weather-04n.svg,0.0 km/h,94%
2026-02-01T06:30:18.505602+07:00,Đà Nẵng,69,/dl/web/weather/ic-weather-10n.svg,3.7 km/h,94%
2026-02-01T10:16:14.706466+07:00,Đà Nẵng,77,/dl/web/weather/ic-weather-04d.svg,3.7 km/h,83%
2026-02-01T12:24:38.728846+07:00,Đà Nẵng,82,/dl/web/weather/ic-weather-10d.svg,13.0 km/h,83%
2026-02-01T13:59:34.238049+07:00,Đà Nẵng,75,/dl/web/weather/ic-weather-10d.svg,5.5 km/h,88%
2026-02-01T14:43:51.694725+07:00,Đà Nẵng,71,/dl/web/weather/ic-weather-10d.svg,9.3 km/h,88%
2026-02-01T15:41:04.275328+07:00,Đà Nẵng,82,/dl/web/weather/ic-weather-04d.svg,7.4 km/h,94%
2026-02-01T16:38:34.378894+07:00,Đà Nẵng,75,/dl/web/weather/ic-weather-04d.svg,9.3 km/h,94%
2026-02-01T17:34:38.295733+07:00,Đà Nẵng,64,/dl/web/weather/ic-weather-04d.svg,9.3 km/h,88%
2026-02-01T18:28:34.789323+07:00,Đà Nẵng,71,/dl/web/weather/ic-weather-04n.svg,7.4 km/h,88%
2026-02-01T20:05:31.963145+07:00,Đà Nẵng,68,/dl/web/weather/ic-weather-04n.svg,7.4 km/h,83%
2026-02-01T21:33:55.632788+07:00,Đà Nẵng,66,/dl/web/weather/ic-weather-04n.svg,5.5 km/h,83%
2026-02-01T22:32:52.476340+07:00,Đà Nẵng,71,/dl/web/weather/ic-weather-04n.svg,9.3 km/h,83%
2026-02-01T23:38:43.831130+07:00,Đà Nẵng,58,/dl/web/weather/ic-weather-04n.svg,5.5 km/h,83%
