timestamp,city,aqi,weather_icon,wind_speed,humidity
2025-12-01T00:22:11.184460+07:00,Hà Nội,165,/dl/web/weather/ic-weather-01n.svg,1.9 km/h,86%
2025-12-01T01:35:19.755661+07:00,Hà Nội,177,/dl/web/weather/ic-weather-01n.svg,0.8 km/h,84%
2025-12-01T02:20:48.642602+07:00,Hà Nội,189,/dl/web/weather/ic-weather-04n.svg,3.6 km/h,82%
2025-12-01T03:28:24.588416+07:00,Hà Nội,201,/dl/web/weather/ic-weather-04n.svg,4.0 km/h,82%
2025-12-01T04:23:06.825240+07:00,Hà Nội,217,/dl/web/weather/ic-weather-04n.svg,5.0 km/h,80%
2025-12-01T05:24:58.621146+07:00,Hà Nội,216,/dl/web/weather/ic-weather-04n.svg,5.6 km/h,77%
2025-12-01T06:24:34.341841+07:00,Hà Nội,217,/dl/web/weather/ic-weather-04n.svg,6.0 km/h,76%
2025-12-01T09:28:13.156734+07:00,Hà Nội,205,/dl/web/weather/ic-weather-04d.svg,6.6 km/h,81%
2025-12-01T11:14:39.077359+07:00,Hà Nội,180,/dl/web/weather/ic-weather-04d.svg,6.0 km/h,70%
2025-12-01T12:34:18.493851+07:00,Hà Nội,174,/dl/web/weather/ic-weather-04d.svg,5.1 km/h,63%
2025-12-01T13:42:52.355169+07:00,Hà Nội,175,/dl/web/weather/ic-weather-04d.svg,3.7 km/h,60%
2025-12-01T14:29:20.990413+07:00,Hà Nội,170,/dl/web/weather/ic-weather-04d.svg,1.8 km/h,56%
2025-12-01T15:39:38.795337+07:00,Hà Nội,165,/dl/web/weather/ic-weather-03d.svg,2.1 km/h,56%
2025-12-01T16:35:59.309049+07:00,Hà Nội,165,/dl/web/weather/ic-weather-03d.svg,2.8 km/h,57%
2025-12-01T17:32:18.093233+07:00,Hà Nội,165,/dl/web/weather/ic-weather-03d.svg,3.6 km/h,61%
2025-12-01T18:24:37.868883+07:00,Hà Nội,175,/dl/web/weather/ic-weather-03n.svg,4.1 km/h,65%
2025-12-01T19:57:27.371503+07:00,Hà Nội,188,/dl/web/weather/ic-weather-03n.svg,6.3 km/h,68%
2025-12-01T20:41:08.420197+07:00,Hà Nội,208,/dl/web/weather/ic-weather-01n.svg,7.1 km/h,76%
2025-12-01T21:29:41.217375+07:00,Hà Nội,226,/dl/web/weather/ic-weather-01n.svg,7.6 km/h,83%
2025-12-01T22:30:18.814261+07:00,Hà Nội,216,/dl/web/weather/ic-weather-01n.svg,7.3 km/h,88%
2025-12-01T23:37:39.723183+07:00,Hà Nội,204,/dl/web/weather/ic-weather-01n.svg,6.7 km/h,92%
2025-12-02T00:27:43.015951+07:00,Hà Nội,195,/dl/web/weather/ic-weather-01n.svg,6.2 km/h,94%
2025-12-02T01:43:16.037542+07:00,Hà Nội,187,/dl/web/weather/ic-weather-01n.svg,7.1 km/h,95%
2025-12-02T02:27:20.337404+07:00,Hà Nội,181,/dl/web/weather/ic-weather-04n.svg,6.6 km/h,94%
2025-12-02T03:27:38.367990+07:00,Hà Nội,181,/dl/web/weather/ic-weather-04n.svg,6.1 km/h,93%
2025-12-02T04:22:45.912589+07:00,Hà Nội,179,/dl/web/weather/ic-weather-04n.svg,4.9 km/h,93%
2025-12-02T05:25:52.954711+07:00,Hà Nội,177,/dl/web/weather/ic-weather-04n.svg,3.8 km/h,92%
2025-12-02T06:25:38.949591+07:00,Hà Nội,183,/dl/web/weather/ic-weather-04n.svg,2.7 km/h,92%
2025-12-02T09:04:30.939455+07:00,Hà Nội,196,/dl/web/weather/ic-weather-04d.svg,1.2 km/h,89%
2025-12-02T10:54:51.745226+07:00,Hà Nội,192,/dl/web/weather/ic-weather-04d.svg,1.3 km/h,80%
2025-12-02T11:36:50.199855+07:00,Hà Nội,192,/dl/web/weather/ic-weather-04d.svg,2.0 km/h,82%
2025-12-02T12:26:57.830236+07:00,Hà Nội,184,/dl/web/weather/ic-weather-04d.svg,2.8 km/h,76%
2025-12-02T13:41:26.687664+07:00,Hà Nội,174,/dl/web/weather/ic-weather-04d.svg,2.7 km/h,71%
2025-12-02T14:28:28.286732+07:00,Hà Nội,175,/dl/web/weather/ic-weather-04d.svg,3.7 km/h,71%
2025-12-02T15:38:41.034142+07:00,Hà Nội,167,/dl/web/weather/ic-weather-04d.svg,4.0 km/h,65%
2025-12-02T16:33:54.475237+07:00,Hà Nội,167,/dl/web/weather/ic-weather-04d.svg,3.9 km/h,67%
2025-12-02T17:31:29.201647+07:00,Hà Nội,172,/dl/web/weather/ic-weather-04d.svg,4.5 km/h,70%
