timestamp,city,aqi,weather_icon,wind_speed,humidity
2026-01-01T00:24:42.236576+07:00,Hà Nội,158,/dl/web/weather/ic-weather-04n.svg,10.1 km/h,81%
2026-01-01T01:38:33.365282+07:00,Hà Nội,166,/dl/web/weather/ic-weather-04n.svg,11.3 km/h,84%
2026-01-01T02:22:02.854002+07:00,Hà Nội,170,/dl/web/weather/ic-weather-04n.svg,11.8 km/h,85%
2026-01-01T03:30:16.080927+07:00,Hà Nội,174,/dl/web/weather/ic-weather-04n.svg,11.0 km/h,84%
2026-01-01T04:25:43.419153+07:00,Hà Nội,174,/dl/web/weather/ic-weather-04n.svg,8.9 km/h,84%
2026-01-01T05:27:51.535439+07:00,Hà Nội,178,/dl/web/weather/ic-weather-04n.svg,7.3 km/h,85%
2026-01-01T06:26:33.706451+07:00,Hà Nội,179,/dl/web/weather/ic-weather-04n.svg,7.0 km/h,84%
2026-01-01T09:27:52.737369+07:00,Hà Nội,177,/dl/web/weather/ic-weather-04d.svg,5.7 km/h,81%
2026-01-01T11:13:47.568055+07:00,Hà Nội,165,/dl/web/weather/ic-weather-04d.svg,8.6 km/h,74%
2026-01-01T12:34:20.357811+07:00,Hà Nội,162,/dl/web/weather/ic-weather-04d.svg,9.2 km/h,73%
2026-01-01T13:43:05.843078+07:00,Hà Nội,155,/dl/web/weather/ic-weather-04d.svg,12.0 km/h,69%
2026-01-01T14:29:24.794792+07:00,Hà Nội,132,/dl/web/weather/ic-weather-04d.svg,12.6 km/h,69%
2026-01-01T15:37:54.737778+07:00,Hà Nội,107,/dl/web/weather/ic-weather-04d.svg,11.7 km/h,69%
2026-01-01T16:32:34.639749+07:00,Hà Nội,88,/dl/web/weather/ic-weather-04d.svg,10.7 km/h,72%
2026-01-01T17:30:44.944890+07:00,Hà Nội,88,/dl/web/weather/ic-weather-04d.svg,10.5 km/h,70%
2026-01-01T18:24:55.953393+07:00,Hà Nội,99,/dl/web/weather/ic-weather-04n.svg,10.9 km/h,72%
2026-01-01T19:56:43.434907+07:00,Hà Nội,118,/dl/web/weather/ic-weather-04n.svg,16.2 km/h,81%
2026-01-01T20:38:50.609687+07:00,Hà Nội,154,/dl/web/weather/ic-weather-04n.svg,19.8 km/h,80%
2026-01-01T21:26:49.306863+07:00,Hà Nội,134,/dl/web/weather/ic-weather-04n.svg,19.9 km/h,79%
2026-01-01T22:29:06.936157+07:00,Hà Nội,81,/dl/web/weather/ic-weather-04n.svg,19.2 km/h,78%
2026-01-01T23:35:05.799169+07:00,Hà Nội,63,/dl/web/weather/ic-weather-04n.svg,18.0 km/h,76%
2026-01-02T00:25:58.949977+07:00,Hà Nội,59,/dl/web/weather/ic-weather-04n.svg,18.2 km/h,73%
2026-01-02T01:38:44.713853+07:00,Hà Nội,58,/dl/web/weather/ic-weather-04n.svg,17.8 km/h,73%
2026-01-02T02:23:01.179652+07:00,Hà Nội,54,/dl/web/weather/ic-weather-04n.svg,17.3 km/h,76%
2026-01-02T03:31:16.877698+07:00,Hà Nội,53,/dl/web/weather/ic-weather-04n.svg,15.2 km/h,76%
2026-01-02T04:26:21.134645+07:00,Hà Nội,57,/dl/web/weather/ic-weather-04n.svg,16.1 km/h,73%
2026-01-02T05:27:36.781737+07:00,Hà Nội,62,/dl/web/weather/ic-weather-04n.svg,16.7 km/h,76%
2026-01-02T06:26:44.727787+07:00,Hà Nội,65,/dl/web/weather/ic-weather-04n.svg,15.6 km/h,80%
2026-01-02T09:12:17.053581+07:00,Hà Nội,71,/dl/web/weather/ic-weather-04d.svg,16.0 km/h,76%
2026-01-02T11:06:49.479689+07:00,Hà Nội,73,/dl/web/weather/ic-weather-04d.svg,13.7 km/h,75%
2026-01-02T12:33:10.981504+07:00,Hà Nội,88,/dl/web/weather/ic-weather-04d.svg,13.5 km/h,75%
2026-01-02T13:43:37.288254+07:00,Hà Nội,86,/dl/web/weather/ic-weather-04d.svg,13.7 km/h,74%
2026-01-02T14:30:32.779420+07:00,Hà Nội,92,/dl/web/weather/ic-weather-04d.svg,14.1 km/h,72%
2026-01-02T15:38:23.752919+07:00,Hà Nội,103,/dl/web/weather/ic-weather-04d.svg,13.6 km/h,72%
2026-01-02T16:32:00.917882+07:00,Hà Nội,112,/dl/web/weather/ic-weather-04d.svg,13.4 km/h,72%
2026-01-02T17:29:49.840600+07:00,Hà Nội,117,/dl/web/weather/ic-weather-04d.svg,11.5 km/h,72%
2026-01-02T18:24:15.296814+07:00,Hà Nội,117,/dl/web/weather/ic-weather-04n.svg,9.6 km/h,75%
2026-01-02T19:55:35.328043+07:00,Hà Nội,122,/dl/web/weather/ic-weather-04n.svg,9.4 km/h,76%
2026-01-02T20:37:48.278202+07:00,Hà Nội,128,/dl/web/weather/ic-weather-04n.svg,10.4 km/h,75%
2026-01-02T21:28:40.427395+07:00,Hà Nội,137,/dl/web/weather/ic-weather-04n.svg,9.8 km/h,76%
2026-01-02T22:29:37.840427+07:00,Hà Nội,133,/dl/web/weather/ic-weather-04n.svg,9.2 km/h,77%
2026-01-02T23:34:14.713548+07:00,Hà Nội,128,/dl/web/weather/ic-weather-04n.svg,9.2 km/h,77%
2026-01-03T00:24:30.407097+07:00,Hà Nội,127,/dl/web/weather/ic-weather-04n.svg,9.5 km/h,80%
2026-01-03T01:38:44.622969+07:00,Hà Nội,128,/dl/web/weather/ic-weather-04n.svg,10.0 km/h,78%
2026-01-03T02:19:00.605319+07:00,Hà Nội,102,/dl/web/weather/ic-weather-04n.svg,9.2 km/h,85%
2026-01-03T03:30:00.861495+07:00,Hà Nội,93,/dl/web/weather/ic-weather-04n.svg,8.6 km/h,84%
2026-01-03T04:22:18.779053+07:00,Hà Nội,110,/dl/web/weather/ic-weather-04n.svg,8.2 km/h,77%
2026-01-03T05:28:00.527367+07:00,Hà Nội,119,/dl/web/weather/ic-weather-04n.svg,7.1 km/h,77%
2026-01-03T06:25:43.647753+07:00,Hà Nội,106,/dl/web/weather/ic-weather-04n.svg,7.3 km/h,77%
2026-01-03T09:05:37.275788+07:00,Hà Nội,115,/dl/web/weather/ic-weather-04d.svg,5.9 km/h,78%
