timestamp,city,aqi,weather_icon,wind_speed,humidity
2025-12-01T00:22:13.275058+07:00,Hồ Chí Minh,110,/dl/web/weather/ic-weather-01n.svg,3.4 km/h,79%
2025-12-01T01:35:21.919803+07:00,Hồ Chí Minh,113,/dl/web/weather/ic-weather-01n.svg,4.6 km/h,78%
2025-12-01T02:20:50.744798+07:00,Hồ Chí Minh,113,/dl/web/weather/ic-weather-01n.svg,5.7 km/h,77%
2025-12-01T03:28:27.387459+07:00,Hồ Chí Minh,122,/dl/web/weather/ic-weather-01n.svg,2.3 km/h,76%
2025-12-01T04:23:08.580865+07:00,Hồ Chí Minh,133,/dl/web/weather/ic-weather-01n.svg,2.0 km/h,79%
2025-12-01T05:25:00.790326+07:00,Hồ Chí Minh,149,/dl/web/weather/ic-weather-01n.svg,2.3 km/h,81%
2025-12-01T06:24:36.486464+07:00,Hồ Chí Minh,157,/dl/web/weather/ic-weather-04d.svg,4.6 km/h,82%
2025-12-01T09:28:15.532346+07:00,Hồ Chí Minh,153,/dl/web/weather/ic-weather-01d.svg,2.3 km/h,66%
2025-12-01T11:14:40.865552+07:00,Hồ Chí Minh,108,/dl/web/weather/ic-weather-01d.svg,5.7 km/h,63%
2025-12-01T12:34:20.720643+07:00,Hồ Chí Minh,98,/dl/web/weather/ic-weather-01d.svg,9.0 km/h,61%
