timestamp,city,aqi,weather_icon,wind_speed,humidity
2025-10-01T00:22:34.088594+07:00,Hồ Chí Minh,86,/dl/web/weather/ic-weather-04n.svg,2.8 km/h,89%
2025-10-01T01:33:13.436880+07:00,Hồ Chí Minh,97,/dl/web/weather/ic-weather-04n.svg,2.1 km/h,90%
2025-10-01T02:19:26.228594+07:00,Hồ Chí Minh,110,/dl/web/weather/ic-weather-03n.svg,2.3 km/h,91%
2025-10-01T03:27:07.413065+07:00,Hồ Chí Minh,121,/dl/web/weather/ic-weather-02n.svg,0.2 km/h,93%
2025-10-01T04:21:45.743296+07:00,Hồ Chí Minh,123,/dl/web/weather/ic-weather-02n.svg,1.0 km/h,93%
2025-10-01T05:22:30.870657+07:00,Hồ Chí Minh,136,/dl/web/weather/ic-weather-02n.svg,1.6 km/h,93%
2025-10-01T06:21:31.078822+07:00,Hồ Chí Minh,144,/dl/web/weather/ic-weather-02d.svg,1.5 km/h,94%
2025-10-01T09:03:26.896238+07:00,Hồ Chí Minh,144,/dl/web/weather/ic-weather-03d.svg,3.1 km/h,81%
2025-10-01T10:44:46.138841+07:00,Hồ Chí Minh,89,/dl/web/weather/ic-weather-02d.svg,2.7 km/h,71%
2025-10-01T11:28:58.061579+07:00,Hồ Chí Minh,77,/dl/web/weather/ic-weather-02d.svg,1.6 km/h,61%
2025-10-01T12:24:39.610415+07:00,Hồ Chí Minh,75,/dl/web/weather/ic-weather-02d.svg,2.6 km/h,61%
2025-10-01T13:37:07.269227+07:00,Hồ Chí Minh,77,/dl/web/weather/ic-weather-03d.svg,2.7 km/h,62%
2025-10-01T14:24:55.282003+07:00,Hồ Chí Minh,81,/dl/web/weather/ic-weather-04d.svg,4.9 km/h,68%
2025-10-01T15:33:18.219502+07:00,Hồ Chí Minh,60,/dl/web/weather/ic-weather-04d.svg,10.2 km/h,77%
2025-10-01T16:27:29.577474+07:00,Hồ Chí Minh,68,/dl/web/weather/ic-weather-04d.svg,10.2 km/h,77%
2025-10-01T17:26:42.368278+07:00,Hồ Chí Minh,73,/dl/web/weather/ic-weather-04d.svg,8.7 km/h,88%
2025-10-01T18:21:22.336877+07:00,Hồ Chí Minh,88,/dl/web/weather/ic-weather-04n.svg,8.9 km/h,83%
2025-10-01T19:53:46.921447+07:00,Hồ Chí Minh,84,/dl/web/weather/ic-weather-04n.svg,7.9 km/h,86%
2025-10-01T20:34:36.859965+07:00,Hồ Chí Minh,17,/dl/web/weather/ic-weather-04n.svg,7.1 km/h,91%
2025-10-01T21:26:41.212101+07:00,Hồ Chí Minh,27,/dl/web/weather/ic-weather-04n.svg,6.7 km/h,91%
2025-10-01T22:25:48.035203+07:00,Hồ Chí Minh,52,/dl/web/weather/ic-weather-04n.svg,6.0 km/h,94%
2025-10-01T23:31:17.730082+07:00,Hồ Chí Minh,60,/dl/web/weather/ic-weather-04n.svg,5.0 km/h,92%
2025-10-02T00:22:09.344897+07:00,Hồ Chí Minh,71,/dl/web/weather/ic-weather-04n.svg,3.8 km/h,93%
2025-10-02T01:35:11.359111+07:00,Hồ Chí Minh,80,/dl/web/weather/ic-weather-04n.svg,3.2 km/h,92%
2025-10-02T02:19:28.800138+07:00,Hồ Chí Minh,82,/dl/web/weather/ic-weather-04n.svg,2.8 km/h,92%
2025-10-02T03:27:49.484242+07:00,Hồ Chí Minh,94,/dl/web/weather/ic-weather-04n.svg,3.2 km/h,92%
2025-10-02T04:21:57.587631+07:00,Hồ Chí Minh,102,/dl/web/weather/ic-weather-04n.svg,3.0 km/h,92%
2025-10-02T05:22:41.584097+07:00,Hồ Chí Minh,117,/dl/web/weather/ic-weather-04n.svg,3.8 km/h,92%
2025-10-02T06:21:08.574939+07:00,Hồ Chí Minh,127,/dl/web/weather/ic-weather-04d.svg,2.7 km/h,91%
2025-10-02T08:50:49.042439+07:00,Hồ Chí Minh,132,/dl/web/weather/ic-weather-03d.svg,1.5 km/h,85%
2025-10-02T10:01:25.144818+07:00,Hồ Chí Minh,123,/dl/web/weather/ic-weather-03d.svg,2.4 km/h,80%
2025-10-02T11:28:20.860623+07:00,Hồ Chí Minh,74,/dl/web/weather/ic-weather-03d.svg,2.2 km/h,64%
2025-10-02T12:23:11.949035+07:00,Hồ Chí Minh,84,/dl/web/weather/ic-weather-03d.svg,2.1 km/h,61%
2025-10-02T13:35:50.910884+07:00,Hồ Chí Minh,84,/dl/web/weather/ic-weather-03d.svg,1.4 km/h,59%
2025-10-02T14:22:56.298168+07:00,Hồ Chí Minh,112,/dl/web/weather/ic-weather-04d.svg,2.0 km/h,57%
2025-10-02T15:31:56.954217+07:00,Hồ Chí Minh,105,/dl/web/weather/ic-weather-04d.svg,6.6 km/h,70%
2025-10-02T16:25:19.117450+07:00,Hồ Chí Minh,68,/dl/web/weather/ic-weather-04d.svg,9.0 km/h,74%
2025-10-02T17:25:04.520037+07:00,Hồ Chí Minh,69,/dl/web/weather/ic-weather-04d.svg,7.9 km/h,73%
2025-10-02T18:19:26.709575+07:00,Hồ Chí Minh,68,/dl/web/weather/ic-weather-04n.svg,8.0 km/h,77%
2025-10-02T19:49:45.220784+07:00,Hồ Chí Minh,57,/dl/web/weather/ic-weather-03n.svg,8.2 km/h,76%
2025-10-02T20:31:45.123001+07:00,Hồ Chí Minh,50,/dl/web/weather/ic-weather-01n.svg,7.7 km/h,80%
2025-10-02T21:24:46.121039+07:00,Hồ Chí Minh,52,/dl/web/weather/ic-weather-01n.svg,6.3 km/h,82%
