timestamp,city,aqi,weather_icon,wind_speed,humidity
2025-09-01T00:19:27.906000+07:00,Hồ Chí Minh,50,/dl/web/weather/ic-weather-04n.svg,9.4 km/h,86%
2025-09-01T01:32:28.143554+07:00,Hồ Chí Minh,50,/dl/web/weather/ic-weather-04n.svg,5.4 km/h,86%
2025-09-01T02:18:21.606044+07:00,Hồ Chí Minh,49,/dl/web/weather/ic-weather-04n.svg,5.2 km/h,90%
2025-09-01T03:25:36.049333+07:00,Hồ Chí Minh,50,/dl/web/weather/ic-weather-04n.svg,4.5 km/h,89%
2025-09-01T04:20:58.969419+07:00,Hồ Chí Minh,49,/dl/web/weather/ic-weather-04n.svg,4.0 km/h,89%
2025-09-01T05:22:21.780408+07:00,Hồ Chí Minh,44,/dl/web/weather/ic-weather-04n.svg,4.5 km/h,89%
2025-09-01T06:21:59.701121+07:00,Hồ Chí Minh,49,/dl/web/weather/ic-weather-04d.svg,4.7 km/h,88%
2025-09-01T09:11:20.630216+07:00,Hồ Chí Minh,52,/dl/web/weather/ic-weather-04d.svg,6.9 km/h,77%
2025-09-01T10:54:42.036089+07:00,Hồ Chí Minh,39,/dl/web/weather/ic-weather-04d.svg,9.2 km/h,76%
2025-09-01T11:34:27.181424+07:00,Hồ Chí Minh,33,/dl/web/weather/ic-weather-04d.svg,10.3 km/h,75%
2025-09-01T12:26:19.409229+07:00,Hồ Chí Minh,28,/dl/web/weather/ic-weather-04d.svg,10.9 km/h,71%
2025-09-01T13:39:41.688393+07:00,Hồ Chí Minh,22,/dl/web/weather/ic-weather-04d.svg,11.1 km/h,70%
2025-09-01T14:25:36.379460+07:00,Hồ Chí Minh,22,/dl/web/weather/ic-weather-04d.svg,11.5 km/h,68%
2025-09-01T15:35:13.993461+07:00,Hồ Chí Minh,28,/dl/web/weather/ic-weather-04d.svg,11.2 km/h,69%
2025-09-01T16:29:37.197897+07:00,Hồ Chí Minh,58,/dl/web/weather/ic-weather-04d.svg,10.1 km/h,73%
2025-09-01T17:28:03.427016+07:00,Hồ Chí Minh,49,/dl/web/weather/ic-weather-04d.svg,15.6 km/h,77%
2025-09-01T18:20:39.632644+07:00,Hồ Chí Minh,39,/dl/web/weather/ic-weather-10d.svg,9.7 km/h,81%
2025-09-01T19:53:07.062255+07:00,Hồ Chí Minh,39,/dl/web/weather/ic-weather-10n.svg,6.8 km/h,84%
2025-09-01T20:33:30.735911+07:00,Hồ Chí Minh,44,/dl/web/weather/ic-weather-10n.svg,7.4 km/h,88%
2025-09-01T21:24:10.413766+07:00,Hồ Chí Minh,44,/dl/web/weather/ic-weather-10n.svg,7.5 km/h,86%
2025-09-01T22:24:51.728433+07:00,Hồ Chí Minh,39,/dl/web/weather/ic-weather-10n.svg,6.9 km/h,92%
2025-09-01T23:29:39.493116+07:00,Hồ Chí Minh,33,/dl/web/weather/ic-weather-10n.svg,7.3 km/h,88%
2025-09-02T00:20:07.416906+07:00,Hồ Chí Minh,39,/dl/web/weather/ic-weather-10n.svg,6.5 km/h,88%
2025-09-02T01:33:32.040140+07:00,Hồ Chí Minh,39,/dl/web/weather/ic-weather-10n.svg,4.6 km/h,93%
2025-09-02T02:19:02.558327+07:00,Hồ Chí Minh,44,/dl/web/weather/ic-weather-04n.svg,4.3 km/h,89%
2025-09-02T03:25:42.922247+07:00,Hồ Chí Minh,41,/dl/web/weather/ic-weather-04n.svg,4.1 km/h,87%
2025-09-02T04:21:09.597404+07:00,Hồ Chí Minh,33,/dl/web/weather/ic-weather-04n.svg,2.9 km/h,94%
2025-09-02T05:23:00.152510+07:00,Hồ Chí Minh,33,/dl/web/weather/ic-weather-04n.svg,3.3 km/h,89%
2025-09-02T06:22:21.378333+07:00,Hồ Chí Minh,39,/dl/web/weather/ic-weather-04d.svg,2.2 km/h,90%
2025-09-02T08:57:04.758505+07:00,Hồ Chí Minh,53,/dl/web/weather/ic-weather-04d.svg,4.6 km/h,86%
2025-09-02T10:11:22.913551+07:00,Hồ Chí Minh,39,/dl/web/weather/ic-weather-04d.svg,4.6 km/h,82%
2025-09-02T11:30:12.676381+07:00,Hồ Chí Minh,33,/dl/web/weather/ic-weather-04d.svg,4.9 km/h,78%
2025-09-02T12:25:28.896447+07:00,Hồ Chí Minh,28,/dl/web/weather/ic-weather-04d.svg,7.1 km/h,74%
2025-09-02T13:37:54.158680+07:00,Hồ Chí Minh,27,/dl/web/weather/ic-weather-04d.svg,6.8 km/h,73%
2025-09-02T14:24:37.544672+07:00,Hồ Chí Minh,27,/dl/web/weather/ic-weather-04d.svg,8.2 km/h,74%
2025-09-02T15:33:41.002963+07:00,Hồ Chí Minh,27,/dl/web/weather/ic-weather-04d.svg,7.4 km/h,73%
2025-09-02T16:27:27.438117+07:00,Hồ Chí Minh,27,/dl/web/weather/ic-weather-04d.svg,8.6 km/h,74%
2025-09-02T17:27:01.420580+07:00,Hồ Chí Minh,27,/dl/web/weather/ic-weather-04d.svg,8.7 km/h,73%
2025-09-02T18:20:56.505362+07:00,Hồ Chí Minh,27,/dl/web/weather/ic-weather-04d.svg,7.6 km/h,77%
2025-09-02T19:52:55.226815+07:00,Hồ Chí Minh,27,/dl/web/weather/ic-weather-04n.svg,7.2 km/h,86%
2025-09-02T20:34:31.852741+07:00,Hồ Chí Minh,58,/dl/web/weather/ic-weather-04n.svg,2.2 km/h,84%
2025-09-02T21:26:17.966321+07:00,Hồ Chí Minh,63,/dl/web/weather/ic-weather-10n.svg,2.2 km/h,91%
2025-09-02T22:27:50.144617+07:00,Hồ Chí Minh,66,/dl/web/weather/ic-weather-10n.svg,2.2 km/h,95%
2025-09-02T23:31:17.390343+07:00,Hồ Chí Minh,41,/dl/web/weather/ic-weather-10n.svg,4.1 km/h,93%
2025-09-03T00:20:58.983674+07:00,Hồ Chí Minh,27,/dl/web/weather/ic-weather-04n.svg,3.7 km/h,95%
2025-09-03T01:33:02.787946+07:00,Hồ Chí Minh,22,/dl/web/weather/ic-weather-10n.svg,3.2 km/h,97%
2025-09-03T02:18:23.420680+07:00,Hồ Chí Minh,17,/dl/web/weather/ic-weather-10n.svg,2.9 km/h,93%
2025-09-03T03:24:20.387249+07:00,Hồ Chí Minh,33,/dl/web/weather/ic-weather-04n.svg,2.5 km/h,90%
2025-09-03T04:21:02.688005+07:00,Hồ Chí Minh,31,/dl/web/weather/ic-weather-04n.svg,1.5 km/h,90%
2025-09-03T05:21:20.417625+07:00,Hồ Chí Minh,39,/dl/web/weather/ic-weather-04n.svg,4.2 km/h,91%
2025-09-03T06:20:35.820280+07:00,Hồ Chí Minh,44,/dl/web/weather/ic-weather-04d.svg,2.9 km/h,97%
2025-09-03T08:49:12.802188+07:00,Hồ Chí Minh,58,/dl/web/weather/ic-weather-02d.svg,4.5 km/h,79%
2025-09-03T09:59:00.960589+07:00,Hồ Chí Minh,58,/dl/web/weather/ic-weather-02d.svg,4.5 km/h,82%
2025-09-03T10:33:25.059123+07:00,Hồ Chí Minh,53,/dl/web/weather/ic-weather-03d.svg,3.6 km/h,76%
2025-09-03T11:28:46.652353+07:00,Hồ Chí Minh,50,/dl/web/weather/ic-weather-03d.svg,4.1 km/h,76%
2025-09-03T12:22:42.036705+07:00,Hồ Chí Minh,44,/dl/web/weather/ic-weather-04d.svg,5.7 km/h,71%
2025-09-03T13:34:34.201741+07:00,Hồ Chí Minh,33,/dl/web/weather/ic-weather-04d.svg,7.7 km/h,63%
2025-09-03T14:23:30.287283+07:00,Hồ Chí Minh,28,/dl/web/weather/ic-weather-04d.svg,9.3 km/h,69%
2025-09-03T15:31:58.952527+07:00,Hồ Chí Minh,33,/dl/web/weather/ic-weather-04d.svg,8.5 km/h,65%
2025-09-03T16:25:54.903739+07:00,Hồ Chí Minh,39,/dl/web/weather/ic-weather-04d.svg,8.0 km/h,66%
2025-09-03T17:25:19.320209+07:00,Hồ Chí Minh,44,/dl/web/weather/ic-weather-04d.svg,8.6 km/h,71%
2025-09-03T18:19:53.607088+07:00,Hồ Chí Minh,56,/dl/web/weather/ic-weather-04d.svg,8.7 km/h,78%
2025-09-03T19:50:16.884555+07:00,Hồ Chí Minh,55,/dl/web/weather/ic-weather-04n.svg,8.5 km/h,79%
2025-09-03T20:32:23.770993+07:00,Hồ Chí Minh,55,/dl/web/weather/ic-weather-10n.svg,9.2 km/h,82%
2025-09-03T21:24:12.750174+07:00,Hồ Chí Minh,64,/dl/web/weather/ic-weather-04n.svg,8.3 km/h,89%
2025-09-03T22:26:24.795704+07:00,Hồ Chí Minh,64,/dl/web/weather/ic-weather-04n.svg,6.9 km/h,87%
2025-09-03T23:30:37.150243+07:00,Hồ Chí Minh,60,/dl/web/weather/ic-weather-04n.svg,6.3 km/h,87%
2025-09-04T00:21:02.916867+07:00,Hồ Chí Minh,55,/dl/web/weather/ic-weather-04n.svg,5.2 km/h,90%
2025-09-04T01:34:04.208473+07:00,Hồ Chí Minh,39,/dl/web/weather/ic-weather-04n.svg,4.8 km/h,90%
2025-09-04T02:19:53.992176+07:00,Hồ Chí Minh,54,/dl/web/weather/ic-weather-04n.svg,5.5 km/h,90%
2025-09-04T03:26:30.220046+07:00,Hồ Chí Minh,57,/dl/web/weather/ic-weather-04n.svg,5.6 km/h,91%
2025-09-04T04:21:21.294258+07:00,Hồ Chí Minh,52,/dl/web/weather/ic-weather-04n.svg,5.7 km/h,89%
2025-09-04T05:22:04.991938+07:00,Hồ Chí Minh,52,/dl/web/weather/ic-weather-04n.svg,5.7 km/h,89%
2025-09-04T06:21:17.966534+07:00,Hồ Chí Minh,56,/dl/web/weather/ic-weather-04d.svg,3.7 km/h,91%
2025-09-04T08:49:45.335413+07:00,Hồ Chí Minh,73,/dl/web/weather/ic-weather-04d.svg,2.9 km/h,85%
2025-09-04T09:59:51.730138+07:00,Hồ Chí Minh,74,/dl/web/weather/ic-weather-04d.svg,4.3 km/h,81%
2025-09-04T10:35:10.646105+07:00,Hồ Chí Minh,75,/dl/web/weather/ic-weather-04d.svg,5.3 km/h,76%
2025-09-04T11:27:58.078152+07:00,Hồ Chí Minh,66,/dl/web/weather/ic-weather-04d.svg,6.1 km/h,73%
2025-09-04T12:22:52.985523+07:00,Hồ Chí Minh,59,/dl/web/weather/ic-weather-04d.svg,6.6 km/h,72%
2025-09-04T13:35:22.890785+07:00,Hồ Chí Minh,53,/dl/web/weather/ic-weather-04d.svg,7.9 km/h,69%
2025-09-04T14:23:05.006699+07:00,Hồ Chí Minh,52,/dl/web/weather/ic-weather-04d.svg,7.6 km/h,65%
2025-09-04T15:31:46.812448+07:00,Hồ Chí Minh,60,/dl/web/weather/ic-weather-04d.svg,12.1 km/h,67%
2025-09-04T16:25:40.380656+07:00,Hồ Chí Minh,68,/dl/web/weather/ic-weather-04d.svg,8.3 km/h,64%
2025-09-04T17:25:45.070454+07:00,Hồ Chí Minh,72,/dl/web/weather/ic-weather-04d.svg,8.5 km/h,66%
2025-09-04T18:19:41.257365+07:00,Hồ Chí Minh,66,/dl/web/weather/ic-weather-04d.svg,7.8 km/h,79%
2025-09-04T19:48:34.045007+07:00,Hồ Chí Minh,58,/dl/web/weather/ic-weather-04n.svg,7.2 km/h,78%
2025-09-04T20:31:48.677007+07:00,Hồ Chí Minh,44,/dl/web/weather/ic-weather-04n.svg,8.0 km/h,81%
2025-09-04T21:23:40.282275+07:00,Hồ Chí Minh,33,/dl/web/weather/ic-weather-04n.svg,7.9 km/h,81%
2025-09-04T22:25:28.447043+07:00,Hồ Chí Minh,38,/dl/web/weather/ic-weather-04n.svg,7.2 km/h,84%
2025-09-04T23:30:46.658913+07:00,Hồ Chí Minh,33,/dl/web/weather/ic-weather-04n.svg,6.6 km/h,84%
2025-09-05T00:20:48.416349+07:00,Hồ Chí Minh,39,/dl/web/weather/ic-weather-04n.svg,6.4 km/h,85%
2025-09-05T01:33:46.221948+07:00,Hồ Chí Minh,49,/dl/web/weather/ic-weather-04n.svg,5.4 km/h,89%
2025-09-05T02:19:06.940813+07:00,Hồ Chí Minh,52,/dl/web/weather/ic-weather-04n.svg,5.3 km/h,90%
2025-09-05T03:26:26.317852+07:00,Hồ Chí Minh,54,/dl/web/weather/ic-weather-04n.svg,4.6 km/h,89%
2025-09-05T04:21:47.331635+07:00,Hồ Chí Minh,56,/dl/web/weather/ic-weather-04n.svg,4.3 km/h,88%
2025-09-05T05:22:45.577197+07:00,Hồ Chí Minh,55,/dl/web/weather/ic-weather-04n.svg,7.0 km/h,93%
2025-09-05T06:21:44.058902+07:00,Hồ Chí Minh,55,/dl/web/weather/ic-weather-04d.svg,4.4 km/h,92%
2025-09-05T08:52:35.054850+07:00,Hồ Chí Minh,62,/dl/web/weather/ic-weather-04d.svg,7.8 km/h,86%
2025-09-05T10:02:55.458667+07:00,Hồ Chí Minh,69,/dl/web/weather/ic-weather-04d.svg,8.2 km/h,72%
2025-09-05T11:28:53.273568+07:00,Hồ Chí Minh,59,/dl/web/weather/ic-weather-04d.svg,8.4 km/h,72%
2025-09-05T12:23:53.314738+07:00,Hồ Chí Minh,56,/dl/web/weather/ic-weather-04d.svg,9.2 km/h,64%
2025-09-05T13:35:50.098529+07:00,Hồ Chí Minh,52,/dl/web/weather/ic-weather-04d.svg,11.2 km/h,60%
2025-09-05T14:23:16.844859+07:00,Hồ Chí Minh,52,/dl/web/weather/ic-weather-04d.svg,11.4 km/h,64%
2025-09-05T15:31:42.179373+07:00,Hồ Chí Minh,53,/dl/web/weather/ic-weather-04d.svg,11.9 km/h,61%
2025-09-05T16:25:44.118597+07:00,Hồ Chí Minh,58,/dl/web/weather/ic-weather-04d.svg,11.2 km/h,64%
2025-09-05T17:26:27.283934+07:00,Hồ Chí Minh,82,/dl/web/weather/ic-weather-04d.svg,10.0 km/h,73%
2025-09-05T18:19:32.213079+07:00,Hồ Chí Minh,66,/dl/web/weather/ic-weather-04n.svg,7.7 km/h,76%
2025-09-05T19:49:47.952040+07:00,Hồ Chí Minh,50,/dl/web/weather/ic-weather-04n.svg,6.7 km/h,78%
