timestamp,city,aqi,weather_icon,wind_speed,humidity
2026-02-01T00:31:01.236512+07:00,Huế,61,/dl/web/weather/ic-weather-03n.svg,7.4 km/h,83%
2026-02-01T01:42:46.946801+07:00,Huế,60,/dl/web/weather/ic-weather-03n.svg,5.5 km/h,83%
2026-02-01T02:27:15.383883+07:00,Huế,61,/dl/web/weather/ic-weather-03n.svg,9.3 km/h,88%
2026-02-01T03:34:10.187064+07:00,Huế,61,/dl/web/weather/ic-weather-03n.svg,7.4 km/h,88%
2026-02-01T04:29:53.845795+07:00,Huế,61,/dl/web/weather/ic-weather-03n.svg,9.3 km/h,83%
2026-02-01T05:31:05.005579+07:00,Huế,62,/dl/web/weather/ic-weather-03n.svg,9.3 km/h,83%
2026-02-01T06:30:26.834180+07:00,Huế,63,/dl/web/weather/ic-weather-03n.svg,7.4 km/h,94%
2026-02-01T10:16:24.676594+07:00,Huế,63,/dl/web/weather/ic-weather-50d.svg,3.7 km/h,94%
2026-02-01T12:24:48.002462+07:00,Huế,71,/dl/web/weather/ic-weather-04d.svg,9.3 km/h,88%
2026-02-01T13:59:41.878976+07:00,Huế,70,/dl/web/weather/ic-weather-50d.svg,3.7 km/h,83%
2026-02-01T14:44:01.904998+07:00,Huế,67,/dl/web/weather/ic-weather-50d.svg,7.4 km/h,94%
2026-02-01T15:41:13.262128+07:00,Huế,65,/dl/web/weather/ic-weather-04d.svg,1.8 km/h,94%
2026-02-01T16:38:43.699315+07:00,Huế,62,/dl/web/weather/ic-weather-04d.svg,3.7 km/h,88%
2026-02-01T17:34:46.747099+07:00,Huế,62,/dl/web/weather/ic-weather-04d.svg,1.8 km/h,78%
2026-02-01T18:28:49.559643+07:00,Huế,65,/dl/web/weather/ic-weather-04n.svg,3.7 km/h,83%
2026-02-01T20:05:41.911077+07:00,Huế,67,/dl/web/weather/ic-weather-04n.svg,3.7 km/h,88%
2026-02-01T21:34:03.748147+07:00,Huế,77,/dl/web/weather/ic-weather-04n.svg,0.0 km/h,94%
2026-02-01T22:33:00.412170+07:00,Huế,77,/dl/web/weather/ic-weather-04n.svg,1.8 km/h,94%
2026-02-01T23:38:55.010688+07:00,Huế,78,/dl/web/weather/ic-weather-04n.svg,1.8 km/h,94%
2026-02-02T00:31:31.584106+07:00,Huế,77,/dl/web/weather/ic-weather-50n.svg,1.8 km/h,94%
2026-02-02T01:47:02.242858+07:00,Huế,75,/dl/web/weather/ic-weather-50n.svg,1.8 km/h,94%
