timestamp,city,aqi,weather_icon,wind_speed,humidity
2025-12-01T00:22:19.303493+07:00,Nha Trang,72,/dl/web/weather/ic-weather-04n.svg,2.8 km/h,93%
2025-12-01T01:35:28.135140+07:00,Nha Trang,72,/dl/web/weather/ic-weather-04n.svg,3.8 km/h,96%
2025-12-01T02:20:57.304739+07:00,Nha Trang,67,/dl/web/weather/ic-weather-04n.svg,4.2 km/h,97%
2025-12-01T03:28:34.251313+07:00,Nha Trang,67,/dl/web/weather/ic-weather-04n.svg,4.6 km/h,97%
2025-12-01T04:23:15.439646+07:00,Nha Trang,67,/dl/web/weather/ic-weather-04n.svg,3.8 km/h,95%
2025-12-01T05:25:07.659227+07:00,Nha Trang,62,/dl/web/weather/ic-weather-04n.svg,3.1 km/h,96%
2025-12-01T06:24:42.905535+07:00,Nha Trang,62,/dl/web/weather/ic-weather-04d.svg,3.2 km/h,91%
2025-12-01T09:28:24.713900+07:00,Nha Trang,64,/dl/web/weather/ic-weather-04d.svg,0.9 km/h,85%
2025-12-01T11:14:46.741945+07:00,Nha Trang,67,/dl/web/weather/ic-weather-04d.svg,3.5 km/h,79%
2025-12-01T12:34:26.973291+07:00,Nha Trang,67,/dl/web/weather/ic-weather-04d.svg,4.2 km/h,73%
2025-12-01T13:43:00.290868+07:00,Nha Trang,70,/dl/web/weather/ic-weather-03d.svg,5.5 km/h,77%
2025-12-01T14:29:30.564112+07:00,Nha Trang,70,/dl/web/weather/ic-weather-04d.svg,5.2 km/h,80%
2025-12-01T15:39:47.912121+07:00,Nha Trang,70,/dl/web/weather/ic-weather-04d.svg,5.1 km/h,78%
2025-12-01T16:36:07.938994+07:00,Nha Trang,70,/dl/web/weather/ic-weather-04d.svg,3.4 km/h,78%
2025-12-01T17:32:26.352465+07:00,Nha Trang,69,/dl/web/weather/ic-weather-04d.svg,3.1 km/h,81%
2025-12-01T18:24:46.156402+07:00,Nha Trang,69,/dl/web/weather/ic-weather-04n.svg,1.9 km/h,85%
2025-12-01T19:57:35.820364+07:00,Nha Trang,68,/dl/web/weather/ic-weather-04n.svg,0.3 km/h,86%
2025-12-01T20:41:16.257720+07:00,Nha Trang,68,/dl/web/weather/ic-weather-04n.svg,0.5 km/h,89%
2025-12-01T21:29:50.179441+07:00,Nha Trang,68,/dl/web/weather/ic-weather-04n.svg,1.4 km/h,90%
2025-12-01T22:30:28.157469+07:00,Nha Trang,68,/dl/web/weather/ic-weather-04n.svg,3.2 km/h,93%
2025-12-01T23:37:47.827685+07:00,Nha Trang,63,/dl/web/weather/ic-weather-04n.svg,4.6 km/h,94%
2025-12-02T00:27:54.573393+07:00,Nha Trang,63,/dl/web/weather/ic-weather-04n.svg,4.0 km/h,91%
2025-12-02T01:43:24.633795+07:00,Nha Trang,63,/dl/web/weather/ic-weather-04n.svg,3.2 km/h,93%
2025-12-02T02:27:30.289624+07:00,Nha Trang,63,/dl/web/weather/ic-weather-04n.svg,2.9 km/h,93%
2025-12-02T03:27:46.686066+07:00,Nha Trang,63,/dl/web/weather/ic-weather-04n.svg,2.9 km/h,93%
2025-12-02T04:22:54.944284+07:00,Nha Trang,63,/dl/web/weather/ic-weather-04n.svg,3.1 km/h,93%
2025-12-02T05:26:02.842820+07:00,Nha Trang,63,/dl/web/weather/ic-weather-04n.svg,3.8 km/h,93%
2025-12-02T06:25:48.344615+07:00,Nha Trang,63,/dl/web/weather/ic-weather-04d.svg,3.6 km/h,93%
2025-12-02T09:04:39.984017+07:00,Nha Trang,62,/dl/web/weather/ic-weather-02d.svg,3.6 km/h,88%
2025-12-02T10:55:00.330956+07:00,Nha Trang,63,/dl/web/weather/ic-weather-03d.svg,2.6 km/h,77%
2025-12-02T11:36:59.939962+07:00,Nha Trang,63,/dl/web/weather/ic-weather-04d.svg,5.3 km/h,79%
2025-12-02T12:27:07.131347+07:00,Nha Trang,63,/dl/web/weather/ic-weather-04d.svg,5.1 km/h,73%
2025-12-02T13:41:35.456892+07:00,Nha Trang,63,/dl/web/weather/ic-weather-04d.svg,5.5 km/h,77%
2025-12-02T14:28:36.646626+07:00,Nha Trang,68,/dl/web/weather/ic-weather-02d.svg,7.6 km/h,81%
2025-12-02T15:38:50.815640+07:00,Nha Trang,68,/dl/web/weather/ic-weather-03d.svg,6.4 km/h,80%
2025-12-02T16:34:04.015489+07:00,Nha Trang,68,/dl/web/weather/ic-weather-03d.svg,6.0 km/h,86%
2025-12-02T17:31:37.679394+07:00,Nha Trang,68,/dl/web/weather/ic-weather-04d.svg,4.9 km/h,87%
2025-12-02T18:26:23.349320+07:00,Nha Trang,68,/dl/web/weather/ic-weather-04n.svg,2.3 km/h,90%
2025-12-02T19:57:57.166400+07:00,Nha Trang,69,/dl/web/weather/ic-weather-04n.svg,0.7 km/h,90%
2025-12-02T20:44:09.856710+07:00,Nha Trang,69,/dl/web/weather/ic-weather-04n.svg,2.9 km/h,86%
2025-12-02T21:29:58.134407+07:00,Nha Trang,69,/dl/web/weather/ic-weather-04n.svg,4.4 km/h,88%
2025-12-02T22:31:39.946130+07:00,Nha Trang,69,/dl/web/weather/ic-weather-04n.svg,5.0 km/h,90%
2025-12-02T23:38:07.826313+07:00,Nha Trang,66,/dl/web/weather/ic-weather-04n.svg,4.0 km/h,90%
2025-12-03T00:28:34.789865+07:00,Nha Trang,66,/dl/web/weather/ic-weather-04n.svg,3.8 km/h,90%
2025-12-03T01:42:13.835462+07:00,Nha Trang,60,/dl/web/weather/ic-weather-04n.svg,4.3 km/h,91%
2025-12-03T02:25:20.336698+07:00,Nha Trang,60,/dl/web/weather/ic-weather-04n.svg,4.9 km/h,93%
2025-12-03T03:32:22.175987+07:00,Nha Trang,60,/dl/web/weather/ic-weather-04n.svg,4.3 km/h,94%
2025-12-03T04:26:33.074530+07:00,Nha Trang,60,/dl/web/weather/ic-weather-04n.svg,4.7 km/h,94%
2025-12-03T05:23:41.421536+07:00,Nha Trang,42,/dl/web/weather/ic-weather-04n.svg,4.6 km/h,93%
2025-12-03T06:25:08.669693+07:00,Nha Trang,42,/dl/web/weather/ic-weather-04d.svg,3.7 km/h,93%
2025-12-03T09:04:09.351061+07:00,Nha Trang,24,/dl/web/weather/ic-weather-03d.svg,3.2 km/h,82%
2025-12-03T10:54:08.658605+07:00,Nha Trang,19,/dl/web/weather/ic-weather-10d.svg,3.4 km/h,77%
2025-12-03T11:35:03.175346+07:00,Nha Trang,19,/dl/web/weather/ic-weather-03d.svg,4.2 km/h,78%
2025-12-03T12:27:10.320017+07:00,Nha Trang,19,/dl/web/weather/ic-weather-04d.svg,5.2 km/h,78%
