timestamp,city,aqi,weather_icon,wind_speed,humidity
2025-11-01T00:23:55.890164+07:00,Nha Trang,57,/dl/web/weather/ic-weather-04n.svg,3.5 km/h,92%
2025-11-01T01:37:06.726283+07:00,Nha Trang,57,/dl/web/weather/ic-weather-04n.svg,2.9 km/h,92%
2025-11-01T02:19:20.341639+07:00,Nha Trang,56,/dl/web/weather/ic-weather-04n.svg,2.6 km/h,91%
2025-11-01T03:28:37.763659+07:00,Nha Trang,56,/dl/web/weather/ic-weather-04n.svg,2.9 km/h,89%
2025-11-01T04:20:46.771323+07:00,Nha Trang,56,/dl/web/weather/ic-weather-04n.svg,3.0 km/h,93%
2025-11-01T05:24:21.394636+07:00,Nha Trang,57,/dl/web/weather/ic-weather-04n.svg,3.7 km/h,93%
2025-11-01T06:23:29.440286+07:00,Nha Trang,57,/dl/web/weather/ic-weather-04d.svg,4.3 km/h,94%
2025-11-01T09:02:42.658904+07:00,Nha Trang,56,/dl/web/weather/ic-weather-04d.svg,4.0 km/h,87%
2025-11-01T10:45:17.035123+07:00,Nha Trang,57,/dl/web/weather/ic-weather-04d.svg,3.2 km/h,83%
2025-11-01T11:27:59.059627+07:00,Nha Trang,57,/dl/web/weather/ic-weather-04d.svg,1.5 km/h,78%
2025-11-01T12:24:11.417092+07:00,Nha Trang,57,/dl/web/weather/ic-weather-04d.svg,4.9 km/h,79%
2025-11-01T13:34:32.668481+07:00,Nha Trang,57,/dl/web/weather/ic-weather-04d.svg,6.8 km/h,85%
2025-11-01T14:21:42.627421+07:00,Nha Trang,59,/dl/web/weather/ic-weather-04d.svg,5.4 km/h,88%
2025-11-01T15:30:25.726605+07:00,Nha Trang,59,/dl/web/weather/ic-weather-04d.svg,6.9 km/h,89%
2025-11-01T16:23:57.059606+07:00,Nha Trang,59,/dl/web/weather/ic-weather-04d.svg,6.3 km/h,89%
2025-11-01T17:24:53.811565+07:00,Nha Trang,56,/dl/web/weather/ic-weather-04d.svg,5.1 km/h,91%
2025-11-01T18:19:00.294071+07:00,Nha Trang,56,/dl/web/weather/ic-weather-04n.svg,5.3 km/h,92%
2025-11-01T19:47:25.877737+07:00,Nha Trang,60,/dl/web/weather/ic-weather-04n.svg,7.0 km/h,92%
2025-11-01T20:28:13.785221+07:00,Nha Trang,60,/dl/web/weather/ic-weather-04n.svg,6.1 km/h,92%
2025-11-01T21:21:03.713925+07:00,Nha Trang,60,/dl/web/weather/ic-weather-04n.svg,5.2 km/h,92%
2025-11-01T22:22:03.968333+07:00,Nha Trang,60,/dl/web/weather/ic-weather-04n.svg,2.6 km/h,91%
2025-11-01T23:27:32.708107+07:00,Nha Trang,64,/dl/web/weather/ic-weather-04n.svg,1.3 km/h,91%
2025-11-02T00:19:23.561245+07:00,Nha Trang,64,/dl/web/weather/ic-weather-04n.svg,2.3 km/h,91%
2025-11-02T01:32:08.921830+07:00,Nha Trang,64,/dl/web/weather/ic-weather-10n.svg,4.3 km/h,91%
