timestamp,city,aqi,weather_icon,wind_speed,humidity
2026-01-01T00:24:51.154258+07:00,Nha Trang,58,/dl/web/weather/ic-weather-04n.svg,9.4 km/h,79%
2026-01-01T01:38:41.367074+07:00,Nha Trang,58,/dl/web/weather/ic-weather-04n.svg,10.3 km/h,81%
2026-01-01T02:22:11.271129+07:00,Nha Trang,61,/dl/web/weather/ic-weather-04n.svg,9.9 km/h,82%
2026-01-01T03:30:24.790300+07:00,Nha Trang,61,/dl/web/weather/ic-weather-04n.svg,9.3 km/h,84%
2026-01-01T04:25:55.031633+07:00,Nha Trang,61,/dl/web/weather/ic-weather-04n.svg,9.9 km/h,82%
2026-01-01T05:27:59.112284+07:00,Nha Trang,58,/dl/web/weather/ic-weather-04n.svg,10.2 km/h,87%
2026-01-01T06:26:41.848893+07:00,Nha Trang,58,/dl/web/weather/ic-weather-04n.svg,9.3 km/h,83%
2026-01-01T09:28:01.772969+07:00,Nha Trang,57,/dl/web/weather/ic-weather-04d.svg,9.0 km/h,62%
2026-01-01T11:13:57.165983+07:00,Nha Trang,57,/dl/web/weather/ic-weather-03d.svg,14.1 km/h,53%
2026-01-01T12:34:29.752457+07:00,Nha Trang,57,/dl/web/weather/ic-weather-03d.svg,17.1 km/h,57%
2026-01-01T13:43:14.387846+07:00,Nha Trang,56,/dl/web/weather/ic-weather-03d.svg,19.5 km/h,55%
2026-01-01T14:29:36.230834+07:00,Nha Trang,56,/dl/web/weather/ic-weather-04d.svg,19.3 km/h,55%
2026-01-01T15:38:04.661306+07:00,Nha Trang,56,/dl/web/weather/ic-weather-04d.svg,19.9 km/h,56%
2026-01-01T16:32:43.613097+07:00,Nha Trang,56,/dl/web/weather/ic-weather-04d.svg,19.9 km/h,68%
2026-01-01T17:30:56.133226+07:00,Nha Trang,55,/dl/web/weather/ic-weather-04d.svg,17.1 km/h,69%
2026-01-01T18:25:04.283822+07:00,Nha Trang,55,/dl/web/weather/ic-weather-04n.svg,14.9 km/h,72%
2026-01-01T19:56:52.677609+07:00,Nha Trang,56,/dl/web/weather/ic-weather-04n.svg,12.0 km/h,73%
2026-01-01T20:38:59.770410+07:00,Nha Trang,56,/dl/web/weather/ic-weather-02n.svg,12.9 km/h,72%
2026-01-01T21:26:57.312516+07:00,Nha Trang,56,/dl/web/weather/ic-weather-02n.svg,12.0 km/h,72%
2026-01-01T22:29:15.390115+07:00,Nha Trang,56,/dl/web/weather/ic-weather-03n.svg,13.3 km/h,76%
2026-01-01T23:35:14.091741+07:00,Nha Trang,56,/dl/web/weather/ic-weather-03n.svg,11.8 km/h,71%
2026-01-02T00:26:07.812674+07:00,Nha Trang,56,/dl/web/weather/ic-weather-03n.svg,12.5 km/h,77%
2026-01-02T01:38:53.346001+07:00,Nha Trang,56,/dl/web/weather/ic-weather-04n.svg,11.6 km/h,75%
2026-01-02T02:23:09.738138+07:00,Nha Trang,57,/dl/web/weather/ic-weather-04n.svg,10.8 km/h,74%
2026-01-02T03:31:25.341711+07:00,Nha Trang,57,/dl/web/weather/ic-weather-04n.svg,13.4 km/h,73%
2026-01-02T04:26:30.288100+07:00,Nha Trang,57,/dl/web/weather/ic-weather-04n.svg,12.4 km/h,73%
2026-01-02T05:27:45.828693+07:00,Nha Trang,56,/dl/web/weather/ic-weather-04n.svg,10.8 km/h,74%
2026-01-02T06:26:53.300109+07:00,Nha Trang,56,/dl/web/weather/ic-weather-04n.svg,12.3 km/h,77%
2026-01-02T09:12:25.852137+07:00,Nha Trang,56,/dl/web/weather/ic-weather-04d.svg,16.2 km/h,73%
2026-01-02T11:06:58.628621+07:00,Nha Trang,56,/dl/web/weather/ic-weather-04d.svg,27.1 km/h,70%
2026-01-02T12:33:19.983598+07:00,Nha Trang,56,/dl/web/weather/ic-weather-04d.svg,29.3 km/h,69%
2026-01-02T13:43:45.983055+07:00,Nha Trang,58,/dl/web/weather/ic-weather-10d.svg,28.0 km/h,67%
2026-01-02T14:30:41.126808+07:00,Nha Trang,58,/dl/web/weather/ic-weather-04d.svg,25.4 km/h,67%
2026-01-02T15:38:31.549045+07:00,Nha Trang,58,/dl/web/weather/ic-weather-03d.svg,26.7 km/h,66%
2026-01-02T16:32:10.504087+07:00,Nha Trang,58,/dl/web/weather/ic-weather-03d.svg,26.7 km/h,68%
2026-01-02T17:29:58.750624+07:00,Nha Trang,58,/dl/web/weather/ic-weather-03d.svg,22.8 km/h,67%
2026-01-02T18:24:23.321036+07:00,Nha Trang,58,/dl/web/weather/ic-weather-04n.svg,18.8 km/h,74%
2026-01-02T19:55:45.758436+07:00,Nha Trang,57,/dl/web/weather/ic-weather-04n.svg,17.6 km/h,75%
