timestamp,city,aqi,weather_icon,wind_speed,humidity
2026-03-01T00:28:57.348882+07:00,Nha Trang,39,/dl/web/weather/ic-weather-01n.svg,6.0 km/h,89%
2026-03-01T01:44:10.219807+07:00,Nha Trang,66,/dl/web/weather/ic-weather-01n.svg,5.0 km/h,89%
2026-03-01T02:28:30.785006+07:00,Nha Trang,66,/dl/web/weather/ic-weather-02n.svg,6.0 km/h,89%
2026-03-01T03:35:35.836452+07:00,Nha Trang,66,/dl/web/weather/ic-weather-02n.svg,6.0 km/h,89%
2026-03-01T04:30:12.347156+07:00,Nha Trang,66,/dl/web/weather/ic-weather-02n.svg,7.0 km/h,90%
2026-03-01T05:32:01.068652+07:00,Nha Trang,66,/dl/web/weather/ic-weather-01n.svg,6.0 km/h,89%
2026-03-01T06:31:25.648701+07:00,Nha Trang,66,/dl/web/weather/ic-weather-01n.svg,6.0 km/h,89%
2026-03-01T09:57:49.708537+07:00,Nha Trang,63,/dl/web/weather/ic-weather-01d.svg,5.0 km/h,63%
2026-03-01T12:02:03.492483+07:00,Nha Trang,61,/dl/web/weather/ic-weather-01d.svg,17.0 km/h,62%
2026-03-01T13:02:22.710285+07:00,Nha Trang,61,/dl/web/weather/ic-weather-01d.svg,18.0 km/h,64%
2026-03-01T14:02:51.417227+07:00,Nha Trang,63,/dl/web/weather/ic-weather-03d.svg,17.0 km/h,66%
2026-03-01T15:41:36.587250+07:00,Nha Trang,63,/dl/web/weather/ic-weather-02d.svg,17.0 km/h,68%
2026-03-01T16:39:09.617403+07:00,Nha Trang,47,/dl/web/weather/ic-weather-01d.svg,17.0 km/h,73%
2026-03-01T17:34:50.872662+07:00,Nha Trang,47,/dl/web/weather/ic-weather-01d.svg,11.0 km/h,75%
2026-03-01T18:29:25.613809+07:00,Nha Trang,47,/dl/web/weather/ic-weather-01n.svg,7.0 km/h,83%
2026-03-01T20:05:23.421627+07:00,Nha Trang,54,/dl/web/weather/ic-weather-01n.svg,7.0 km/h,88%
2026-03-01T21:33:20.408890+07:00,Nha Trang,54,/dl/web/weather/ic-weather-01n.svg,7.0 km/h,90%
2026-03-01T22:32:35.035798+07:00,Nha Trang,54,/dl/web/weather/ic-weather-01n.svg,7.0 km/h,90%
2026-03-01T23:39:33.589880+07:00,Nha Trang,63,/dl/web/weather/ic-weather-02n.svg,6.0 km/h,90%
