timestamp,city,aqi,weather_icon,wind_speed,humidity
2026-02-01T00:31:03.226845+07:00,Vinh,81,/dl/web/weather/ic-weather-03n.svg,2.3 km/h,87%
2026-02-01T01:42:48.866911+07:00,Vinh,85,/dl/web/weather/ic-weather-04n.svg,4.0 km/h,83%
2026-02-01T02:27:17.421118+07:00,Vinh,85,/dl/web/weather/ic-weather-04n.svg,4.6 km/h,86%
2026-02-01T03:34:13.029888+07:00,Vinh,85,/dl/web/weather/ic-weather-04n.svg,4.9 km/h,87%
2026-02-01T04:29:55.642473+07:00,Vinh,85,/dl/web/weather/ic-weather-04n.svg,5.9 km/h,87%
2026-02-01T05:31:07.494463+07:00,Vinh,87,/dl/web/weather/ic-weather-04n.svg,7.6 km/h,86%
2026-02-01T06:30:28.861861+07:00,Vinh,87,/dl/web/weather/ic-weather-04n.svg,9.9 km/h,85%
2026-02-01T10:16:26.984699+07:00,Vinh,86,/dl/web/weather/ic-weather-04d.svg,17.1 km/h,79%
2026-02-01T12:24:51.622894+07:00,Vinh,84,/dl/web/weather/ic-weather-04d.svg,18.2 km/h,73%
2026-02-01T13:59:43.730482+07:00,Vinh,83,/dl/web/weather/ic-weather-04d.svg,18.4 km/h,72%
2026-02-01T14:44:04.374778+07:00,Vinh,83,/dl/web/weather/ic-weather-04d.svg,18.9 km/h,75%
2026-02-01T15:41:15.398530+07:00,Vinh,83,/dl/web/weather/ic-weather-04d.svg,19.1 km/h,77%
2026-02-01T16:38:45.623160+07:00,Vinh,83,/dl/web/weather/ic-weather-04d.svg,17.4 km/h,78%
2026-02-01T17:34:48.851952+07:00,Vinh,89,/dl/web/weather/ic-weather-04d.svg,15.0 km/h,80%
2026-02-01T18:28:51.402283+07:00,Vinh,89,/dl/web/weather/ic-weather-04n.svg,11.6 km/h,83%
2026-02-01T20:05:44.565499+07:00,Vinh,88,/dl/web/weather/ic-weather-03n.svg,7.5 km/h,86%
2026-02-01T21:34:05.791406+07:00,Vinh,88,/dl/web/weather/ic-weather-03n.svg,6.9 km/h,86%
2026-02-01T22:33:02.551250+07:00,Vinh,88,/dl/web/weather/ic-weather-04n.svg,6.9 km/h,85%
2026-02-01T23:38:57.612055+07:00,Vinh,88,/dl/web/weather/ic-weather-04n.svg,6.8 km/h,84%
2026-02-02T00:31:33.620440+07:00,Vinh,88,/dl/web/weather/ic-weather-04n.svg,6.1 km/h,84%
2026-02-02T01:47:04.248872+07:00,Vinh,92,/dl/web/weather/ic-weather-04n.svg,6.2 km/h,84%
2026-02-02T02:31:10.825559+07:00,Vinh,92,/dl/web/weather/ic-weather-04n.svg,6.7 km/h,84%
2026-02-02T03:35:35.836584+07:00,Vinh,92,/dl/web/weather/ic-weather-04n.svg,9.3 km/h,84%
2026-02-02T04:30:33.863599+07:00,Vinh,92,/dl/web/weather/ic-weather-04n.svg,11.4 km/h,85%
2026-02-02T05:33:33.613541+07:00,Vinh,89,/dl/web/weather/ic-weather-04n.svg,12.7 km/h,84%
2026-02-02T06:33:19.543618+07:00,Vinh,89,/dl/web/weather/ic-weather-04n.svg,12.1 km/h,85%
2026-02-02T09:49:54.168537+07:00,Vinh,90,/dl/web/weather/ic-weather-04d.svg,15.2 km/h,87%
2026-02-02T12:04:15.640731+07:00,Vinh,92,/dl/web/weather/ic-weather-04d.svg,13.9 km/h,84%
2026-02-02T14:12:14.078974+07:00,Vinh,94,/dl/web/weather/ic-weather-04d.svg,14.4 km/h,85%
2026-02-02T15:55:08.635303+07:00,Vinh,94,/dl/web/weather/ic-weather-04d.svg,14.9 km/h,83%
2026-02-02T17:00:02.019336+07:00,Vinh,96,/dl/web/weather/ic-weather-04d.svg,13.8 km/h,83%
