timestamp,city,aqi,weather_icon,wind_speed,humidity,__source_file
2025-01-20 22:37:31.832123+07:00,Đà Nẵng,96,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.7 km/h,68%,aqi_da-nang_2025_jan.csv
2025-01-20 22:43:30.883978+07:00,Đà Nẵng,96,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.7 km/h,68%,aqi_da-nang_2025_jan.csv
2025-01-20 23:11:42.275900+07:00,Đà Nẵng,97,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.5 km/h,88%,aqi_da-nang_2025_jan.csv
2025-01-21 19:52:44.568699+07:00,Đà Nẵng,157,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,3.7 km/h,83%,aqi_da-nang_2025_jan.csv
2025-01-21 20:05:41.320568+07:00,Đà Nẵng,157,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,5.5 km/h,88%,aqi_da-nang_2025_jan.csv
2025-01-21 22:02:15.893275+07:00,Đà Nẵng,153,/dl/web/weather/ic-w-09-mist-full.svg,3.7 km/h,94%,aqi_da-nang_2025_jan.csv
2025-01-21 23:02:20.528223+07:00,Đà Nẵng,160,/dl/web/weather/ic-w-09-mist-full.svg,3.7 km/h,94%,aqi_da-nang_2025_jan.csv
2025-01-22 00:02:14.385309+07:00,Đà Nẵng,174,/dl/web/weather/ic-w-09-mist-full.svg,0.0 km/h,88%,aqi_da-nang_2025_jan.csv
2025-01-22 01:02:16.638103+07:00,Đà Nẵng,163,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.4 km/h,84%,aqi_da-nang_2025_jan.csv
2025-01-22 02:02:04.845603+07:00,Đà Nẵng,165,/dl/web/weather/ic-w-09-mist-full.svg,3.7 km/h,94%,aqi_da-nang_2025_jan.csv
2025-01-22 03:02:03.248848+07:00,Đà Nẵng,163,/dl/web/weather/ic-w-09-mist-full.svg,0.0 km/h,94%,aqi_da-nang_2025_jan.csv
2025-01-22 04:02:07.892659+07:00,Đà Nẵng,157,/dl/web/weather/ic-w-09-mist-full.svg,1.8 km/h,94%,aqi_da-nang_2025_jan.csv
