timestamp,city,aqi,weather_icon,wind_speed,humidity,__source_file
2025-01-20 23:11:55.511037+07:00,Hải Phòng,190,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,8.1 km/h,68%,aqi_hai-phong_2025_jan.csv
2025-01-21 19:52:51.411457+07:00,Hải Phòng,132,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,14.8 km/h,77%,aqi_hai-phong_2025_jan.csv
2025-01-21 20:05:50.054101+07:00,Hải Phòng,132,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,11.1 km/h,88%,aqi_hai-phong_2025_jan.csv
2025-01-21 21:02:30.004552+07:00,Hải Phòng,139,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,11.1 km/h,88%,aqi_hai-phong_2025_jan.csv
2025-01-21 22:02:25.100356+07:00,Hải Phòng,139,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,9.2 km/h,82%,aqi_hai-phong_2025_jan.csv
2025-01-21 23:02:26.999037+07:00,Hải Phòng,132,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,7.4 km/h,82%,aqi_hai-phong_2025_jan.csv
2025-01-22 00:02:21.087490+07:00,Hải Phòng,142,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,7.4 km/h,82%,aqi_hai-phong_2025_jan.csv
2025-01-22 01:02:24.927831+07:00,Hải Phòng,156,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,10.0 km/h,78%,aqi_hai-phong_2025_jan.csv
2025-01-22 02:02:13.628691+07:00,Hải Phòng,167,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,5.5 km/h,88%,aqi_hai-phong_2025_jan.csv
2025-01-22 03:02:10.728794+07:00,Hải Phòng,152,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,5.5 km/h,88%,aqi_hai-phong_2025_jan.csv
2025-01-22 04:02:16.640619+07:00,Hải Phòng,137,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,5.5 km/h,77%,aqi_hai-phong_2025_jan.csv
2025-01-22 05:02:07.651122+07:00,Hải Phòng,137,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,3.7 km/h,72%,aqi_hai-phong_2025_jan.csv
2025-01-22 06:02:05.148132+07:00,Hải Phòng,122,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,7.4 km/h,77%,aqi_hai-phong_2025_jan.csv
2025-01-22 07:04:50.224678+07:00,Hải Phòng,127,/dl/web/weather/ic-w-01-clear-sky-full.svg,3.7 km/h,82%,aqi_hai-phong_2025_jan.csv
2025-01-22 09:24:21.051538+07:00,Hải Phòng,156,/dl/web/weather/ic-w-02-new-clouds-full.svg,7.4 km/h,77%,aqi_hai-phong_2025_jan.csv
2025-01-22 11:02:19.453526+07:00,Hải Phòng,137,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.5 km/h,73%,aqi_hai-phong_2025_jan.csv
2025-01-22 12:02:18.591002+07:00,Hải Phòng,102,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.7 km/h,64%,aqi_hai-phong_2025_jan.csv
2025-01-22 13:02:34.299994+07:00,Hải Phòng,94,/dl/web/weather/ic-w-02-new-clouds-full.svg,13.0 km/h,68%,aqi_hai-phong_2025_jan.csv
2025-01-22 14:02:16.719680+07:00,Hải Phòng,84,/dl/web/weather/ic-w-02-new-clouds-full.svg,14.8 km/h,64%,aqi_hai-phong_2025_jan.csv
2025-01-22 15:02:25.346284+07:00,Hải Phòng,86,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,18.5 km/h,64%,aqi_hai-phong_2025_jan.csv
2025-01-22 16:02:14.885307+07:00,Hải Phòng,90,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,16.7 km/h,68%,aqi_hai-phong_2025_jan.csv
2025-01-22 17:02:07.307178+07:00,Hải Phòng,96,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,16.7 km/h,73%,aqi_hai-phong_2025_jan.csv
2025-01-22 18:01:54.717662+07:00,Hải Phòng,96,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,15.0 km/h,66%,aqi_hai-phong_2025_jan.csv
2025-01-22 19:02:24.895797+07:00,Hải Phòng,105,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,16.7 km/h,77%,aqi_hai-phong_2025_jan.csv
2025-01-22 20:05:51.672002+07:00,Hải Phòng,110,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,14.8 km/h,88%,aqi_hai-phong_2025_jan.csv
2025-01-22 21:02:09.207306+07:00,Hải Phòng,117,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,14.8 km/h,88%,aqi_hai-phong_2025_jan.csv
