timestamp,city,aqi,weather_icon,wind_speed,humidity,__source_file
2025-01-20 22:43:23.084546+07:00,Hồ Chí Minh,67,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,11.1 km/h,70%,aqi_ho-chi-minh-city_2025_jan.csv
2025-01-20 23:11:29.419836+07:00,Hồ Chí Minh,67,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,11.2 km/h,68%,aqi_ho-chi-minh-city_2025_jan.csv
2025-01-21 19:52:37.079646+07:00,Hồ Chí Minh,99,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,14.8 km/h,72%,aqi_ho-chi-minh-city_2025_jan.csv
2025-01-21 20:05:34.363987+07:00,Hồ Chí Minh,99,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,13.0 km/h,72%,aqi_ho-chi-minh-city_2025_jan.csv
2025-01-21 21:02:07.590636+07:00,Hồ Chí Minh,94,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,13.0 km/h,72%,aqi_ho-chi-minh-city_2025_jan.csv
2025-01-21 22:02:07.400042+07:00,Hồ Chí Minh,91,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,11.1 km/h,73%,aqi_ho-chi-minh-city_2025_jan.csv
2025-01-21 23:02:13.623357+07:00,Hồ Chí Minh,105,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,9.2 km/h,71%,aqi_ho-chi-minh-city_2025_jan.csv
2025-01-22 00:02:07.353020+07:00,Hồ Chí Minh,102,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,7.4 km/h,72%,aqi_ho-chi-minh-city_2025_jan.csv
2025-01-22 01:02:07.868591+07:00,Hồ Chí Minh,94,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.2 km/h,71%,aqi_ho-chi-minh-city_2025_jan.csv
2025-01-22 02:01:56.880227+07:00,Hồ Chí Minh,88,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,1.8 km/h,74%,aqi_ho-chi-minh-city_2025_jan.csv
2025-01-22 03:01:56.333908+07:00,Hồ Chí Minh,81,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,3.7 km/h,73%,aqi_ho-chi-minh-city_2025_jan.csv
2025-01-22 04:02:00.127651+07:00,Hồ Chí Minh,92,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,5.5 km/h,73%,aqi_ho-chi-minh-city_2025_jan.csv
2025-01-22 05:01:50.283282+07:00,Hồ Chí Minh,93,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,5.5 km/h,74%,aqi_ho-chi-minh-city_2025_jan.csv
2025-01-22 06:01:49.757352+07:00,Hồ Chí Minh,91,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,5.5 km/h,76%,aqi_ho-chi-minh-city_2025_jan.csv
2025-01-22 07:04:35.141319+07:00,Hồ Chí Minh,92,/dl/web/weather/ic-w-01-clear-sky-full.svg,11.1 km/h,71%,aqi_ho-chi-minh-city_2025_jan.csv
2025-01-22 09:23:32.354009+07:00,Hồ Chí Minh,126,/dl/web/weather/ic-w-01-clear-sky-full.svg,7.4 km/h,68%,aqi_ho-chi-minh-city_2025_jan.csv
