city,weather_type,mean_aqi
Cần Thơ,Dông bão,64.04
Cần Thơ,Khác,49.63
Cần Thơ,Mây,67.18
Cần Thơ,Mưa,48.91
Cần Thơ,Nắng,75.62
Cần Thơ,Sương mù,91.8
Huế,Dông bão,49.47
Huế,Khác,45.04
Huế,Mây,56.67
Huế,Mưa,51.77
Huế,Nắng,50.41
Huế,Sương mù,64.74
Hà Nội,Khác,78.4
Hà Nội,Mây,112.2
Hà Nội,Mưa,83.15
Hà Nội,Nắng,149.31
Hải Phòng,Dông bão,75.25
Hải Phòng,Khác,55.18
Hải Phòng,Mây,79.02
Hải Phòng,Mưa,62.7
Hải Phòng,Nắng,87.82
Hải Phòng,Sương mù,142.31
Hồ Chí Minh,Dông bão,52.65
Hồ Chí Minh,Khác,61.53
Hồ Chí Minh,Mây,69.98
Hồ Chí Minh,Mưa,58.83
Hồ Chí Minh,Nắng,75.35
Hồ Chí Minh,Sương mù,137.39
Nha Trang,Khác,60.96
Nha Trang,Mây,61.69
Nha Trang,Mưa,54.43
Nha Trang,Nắng,60.49
Vinh,Khác,45.7
Vinh,Mây,84.26
Vinh,Mưa,76.66
Vinh,Nắng,99.9
Đà Nẵng,Dông bão,47.55
Đà Nẵng,Khác,29.25
Đà Nẵng,Mây,58.56
Đà Nẵng,Mưa,45.45
Đà Nẵng,Nắng,68.28
Đà Nẵng,Sương mù,104.83
