city,AQI_level,count,percent
Cần Thơ,Kém (101-150),256,4.36
Cần Thơ,Trung bình (51-100),3848,65.58
Cần Thơ,Tốt (0-50),1738,29.62
Cần Thơ,Xấu (151-200),26,0.44
Huế,Kém (101-150),129,2.2
Huế,Trung bình (51-100),2615,44.61
Huế,Tốt (0-50),3112,53.09
Huế,Xấu (151-200),6,0.1
Hà Nội,Kém (101-150),1049,19.79
Hà Nội,Rất xấu (201-300),51,0.96
Hà Nội,Trung bình (51-100),2883,54.4
Hà Nội,Tốt (0-50),288,5.43
Hà Nội,Xấu (151-200),1029,19.42
Hải Phòng,Kém (101-150),797,13.59
Hải Phòng,Rất xấu (201-300),3,0.05
Hải Phòng,Trung bình (51-100),3145,53.64
Hải Phòng,Tốt (0-50),1584,27.02
Hải Phòng,Xấu (151-200),334,5.7
Hồ Chí Minh,Kém (101-150),435,8.23
Hồ Chí Minh,Rất xấu (201-300),3,0.06
Hồ Chí Minh,Trung bình (51-100),3666,69.34
Hồ Chí Minh,Tốt (0-50),1092,20.65
Hồ Chí Minh,Xấu (151-200),91,1.72
Nha Trang,Trung bình (51-100),5138,87.62
Nha Trang,Tốt (0-50),726,12.38
Vinh,Kém (101-150),659,11.23
Vinh,Trung bình (51-100),3987,67.97
Vinh,Tốt (0-50),911,15.53
Vinh,Xấu (151-200),309,5.27
Đà Nẵng,Kém (101-150),235,4.44
Đà Nẵng,Trung bình (51-100),2121,40.05
Đà Nẵng,Tốt (0-50),2879,54.36
Đà Nẵng,Xấu (151-200),61,1.15
