city,hour,mean_aqi
Cần Thơ,0,66.07
Cần Thơ,1,65.38
Cần Thơ,2,65.9
Cần Thơ,3,65.81
Cần Thơ,4,66.07
Cần Thơ,5,67.42
Cần Thơ,6,70.04
Cần Thơ,7,73.5
Cần Thơ,8,72.49
Cần Thơ,9,72.24
Cần Thơ,10,61.29
Cần Thơ,11,57.61
Cần Thơ,12,56.14
Cần Thơ,13,54.6
Cần Thơ,14,53.5
Cần Thơ,15,55.02
Cần Thơ,16,57.2
Cần Thơ,17,60.52
Cần Thơ,18,63.37
Cần Thơ,19,63.58
Cần Thơ,20,69.06
Cần Thơ,21,68.62
Cần Thơ,22,67.76
Cần Thơ,23,68.41
Huế,0,56.89
Huế,1,56.37
Huế,2,56.09
Huế,3,55.56
Huế,4,55.73
Huế,5,55.25
Huế,6,55.13
Huế,7,54.96
Huế,8,56.41
Huế,9,58.46
Huế,10,56.46
Huế,11,58.16
Huế,12,57.47
Huế,13,56.42
Huế,14,55.3
Huế,15,54.69
Huế,16,54.54
Huế,17,54.59
Huế,18,54.99
Huế,19,55.32
Huế,20,57.23
Huế,21,57.68
Huế,22,57.58
Huế,23,57.37
Hà Nội,0,113.35
Hà Nội,1,112.06
Hà Nội,2,111.49
Hà Nội,3,111.16
Hà Nội,4,112.61
Hà Nội,5,112.26
Hà Nội,6,113.41
Hà Nội,7,108.8
Hà Nội,8,110.77
Hà Nội,9,122.92
Hà Nội,10,110.92
Hà Nội,11,113.99
Hà Nội,12,108.98
Hà Nội,13,104.29
Hà Nội,14,100.91
Hà Nội,15,98.87
Hà Nội,16,97.83
Hà Nội,17,99.21
Hà Nội,18,103.49
Hà Nội,19,106.85
Hà Nội,20,116.66
Hà Nội,21,115.23
Hà Nội,22,116.72
Hà Nội,23,116.91
Hải Phòng,0,83.03
Hải Phòng,1,84.02
Hải Phòng,2,83.82
Hải Phòng,3,82.69
Hải Phòng,4,84.18
Hải Phòng,5,84.86
Hải Phòng,6,85.51
Hải Phòng,7,83.74
Hải Phòng,8,80.69
Hải Phòng,9,89.39
Hải Phòng,10,77.32
Hải Phòng,11,79.26
Hải Phòng,12,76.49
Hải Phòng,13,73.18
Hải Phòng,14,72.04
Hải Phòng,15,72.68
Hải Phòng,16,73.88
Hải Phòng,17,75.39
Hải Phòng,18,77.68
Hải Phòng,19,77.95
Hải Phòng,20,82.1
Hải Phòng,21,81.26
Hải Phòng,22,80.7
Hải Phòng,23,82.29
Hồ Chí Minh,0,67.54
Hồ Chí Minh,1,68.28
Hồ Chí Minh,2,70.48
Hồ Chí Minh,3,72.04
Hồ Chí Minh,4,73.49
Hồ Chí Minh,5,76.42
Hồ Chí Minh,6,80.16
Hồ Chí Minh,7,77.73
Hồ Chí Minh,8,83.95
Hồ Chí Minh,9,89.23
Hồ Chí Minh,10,78.63
Hồ Chí Minh,11,80.34
Hồ Chí Minh,12,77.12
Hồ Chí Minh,13,74.03
Hồ Chí Minh,14,71.21
Hồ Chí Minh,15,70.05
Hồ Chí Minh,16,69.94
Hồ Chí Minh,17,68.5
Hồ Chí Minh,18,67.2
Hồ Chí Minh,19,66.24
Hồ Chí Minh,20,67.34
Hồ Chí Minh,21,66.16
Hồ Chí Minh,22,66.57
Hồ Chí Minh,23,66.92
Nha Trang,0,57.95
Nha Trang,1,57.88
Nha Trang,2,58.17
Nha Trang,3,58.18
Nha Trang,4,58.75
Nha Trang,5,58.23
Nha Trang,6,58.47
Nha Trang,7,63.12
Nha Trang,8,60.0
Nha Trang,9,58.37
Nha Trang,10,57.76
Nha Trang,11,56.02
Nha Trang,12,55.91
Nha Trang,13,55.59
Nha Trang,14,55.07
Nha Trang,15,55.13
Nha Trang,16,55.29
Nha Trang,17,54.98
Nha Trang,18,55.08
Nha Trang,19,56.06
Nha Trang,20,56.83
Nha Trang,21,56.74
Nha Trang,22,56.81
Nha Trang,23,58.2
Vinh,0,83.61
Vinh,1,83.0
Vinh,2,83.7
Vinh,3,83.88
Vinh,4,83.11
Vinh,5,82.11
Vinh,6,82.98
Vinh,7,82.57
Vinh,8,87.09
Vinh,9,87.31
Vinh,10,82.78
Vinh,11,83.27
Vinh,12,80.34
Vinh,13,75.75
Vinh,14,72.48
Vinh,15,72.21
Vinh,16,73.74
Vinh,17,76.11
Vinh,18,78.38
Vinh,19,81.7
Vinh,20,85.17
Vinh,21,84.15
Vinh,22,83.05
Vinh,23,83.43
Đà Nẵng,0,56.9
Đà Nẵng,1,55.57
Đà Nẵng,2,55.3
Đà Nẵng,3,55.17
Đà Nẵng,4,56.74
Đà Nẵng,5,56.97
Đà Nẵng,6,58.38
Đà Nẵng,7,60.68
Đà Nẵng,8,61.76
Đà Nẵng,9,65.61
Đà Nẵng,10,57.79
Đà Nẵng,11,57.59
Đà Nẵng,12,54.46
Đà Nẵng,13,50.74
Đà Nẵng,14,48.65
Đà Nẵng,15,47.89
Đà Nẵng,16,46.9
Đà Nẵng,17,47.32
Đà Nẵng,18,48.34
Đà Nẵng,19,49.38
Đà Nẵng,20,54.51
Đà Nẵng,21,53.31
Đà Nẵng,22,55.28
Đà Nẵng,23,57.23
